Domain,Title,words,flesch_re,fk_grade,avg_sent_len,noun_density,adj_density,verb_density,passive_rate,formal_rate,deontic_rate,epistemic_rate,ttr
plain,Data Protection: rights for data subjects,892,44.26439162929748,10.778627802690583,16.53,0.2429,0.0837,0.1704,0.2542,6.7264,3.3632,4.4843,0.545
plain,"Request copies of personal information held in the borders, immigration and citizenship system",1342,52.229350551821454,9.67043639531989,16.71,0.2484,0.0646,0.1601,0.1275,0.7452,3.7258,3.7258,0.68
plain,Personal information charter,1940,45.77592410240874,10.776640408018988,18.02,0.2487,0.0775,0.1586,0.125,2.0619,0.5155,10.3093,0.685
plain,Privacy notice: how we use your data,745,59.64261261261262,8.004324324324326,15.89,0.2616,0.0725,0.1605,0.2593,0.0,1.3423,1.3423,0.685
plain,How to make a freedom of information (FOI) request,852,48.06179448398578,10.046083629893243,16.4,0.2622,0.0775,0.142,0.1029,0.0,2.3474,5.8685,0.605
plain,The UK's data protection legislation,532,40.74258730158732,10.51352380952381,13.93,0.2726,0.0872,0.1433,0.1373,3.7594,5.6391,0.0,0.67
plain,Find legal advice and information,1173,61.30804765109707,7.77551630995648,14.03,0.235,0.0941,0.1505,0.0495,0.0,0.0,11.0827,0.565
plain,Data protection and your business,864,59.186572801196064,8.330593458284714,15.55,0.2673,0.0495,0.1752,0.1429,0.0,16.2037,6.9444,0.59
plain,Personal information charter HMRC,360,51.35500000000002,9.180268199233716,14.03,0.2616,0.0831,0.1443,0.0667,0.0,0.0,16.6667,0.645
plain,Personal information charter DVLA,1797,43.518744589654176,11.398548136319704,19.24,0.2712,0.08,0.1449,0.1217,1.113,0.5565,4.4519,0.7
notice,airbnb,5645,31.376377818806418,13.6207070057214,23.4,0.2926,0.0969,0.1162,0.1325,3.1886,0.0,14.7033,0.76
notice,amazon,5088,29.465888139525305,14.918852881129506,28.19,0.2958,0.0752,0.1223,0.0884,2.9481,0.3931,6.6824,0.705
notice,apple,3866,32.36362950592462,13.969023721072904,24.59,0.2919,0.0827,0.1437,0.2205,2.0693,1.552,11.8986,0.645
notice,booking,7448,38.054845143261815,12.529523419266035,23.18,0.2721,0.0893,0.1318,0.1303,2.551,0.0,14.7691,0.78
notice,google,4330,43.08790326313357,12.53739478295368,24.52,0.2806,0.0612,0.1574,0.1553,1.1547,0.0,7.3903,0.715
notice,microsoft,4343,30.32440043141486,14.764666143739586,27.28,0.3029,0.0896,0.1246,0.1141,1.6118,0.2303,3.6841,0.715
notice,netflix,8528,21.839411383644602,17.226730918903304,33.78,0.2956,0.0964,0.1193,0.1209,4.2214,0.2345,9.4981,0.66
notice,spotify,6146,46.81947059032498,9.902733490202976,14.18,0.2902,0.0799,0.1276,0.0442,0.9762,0.1627,6.3456,0.71
notice,tiktok,7013,32.812810842128016,13.820439132942798,24.02,0.2718,0.0788,0.136,0.074,1.426,0.1426,4.563,0.68
notice,twitter,4777,39.05336119155896,13.541610474611883,26.92,0.2573,0.0701,0.139,0.1315,0.8373,1.0467,11.5135,0.72
