number;title;source
1.;Data Protection: rights for data subjects;https://www.gov.uk/government/publications/data-protection-rights-for-data-subjects/data-protection-rights-for-data-subjects
2.;"
Request copies of personal information held in the borders, immigration and citizenship system";https://www.gov.uk/government/publications/request-copies-of-your-personal-immigration-and-borders-information/request-personal-information-held-by-uk-visas-and-immigration
3.;Personal information charter;https://www.gov.uk/government/organisations/home-office/about/personal-information-charter
4.;Privacy notice: how we use your data;https://www.notifications.service.gov.uk/privacy
5.;How to make a freedom of information (FOI) request;https://www.gov.uk/make-a-freedom-of-information-request
6.;The UK's data protection legislation;https://www.gov.uk/data-protection
7.;Find legal advice and information;https://www.gov.uk/find-legal-advice
8.;Data protection and your business;https://www.gov.uk/data-protection-your-business
9.;Personal information charter HMRC;https://www.gov.uk/government/organisations/hm-revenue-customs/about/personal-information-charter
10.;Personal information charter DVLA;https://www.gov.uk/government/organisations/driver-and-vehicle-licensing-agency/about/personal-information-charter
